id;lastname;firstname;position;location;rate
1;invoice cultivate EXE;Buckinghamshire Dynamic;Som;deposit Granite ADP;49139
2;integrate Colorado payment;Pizza Moroccan Interface;California Colombia Rustic;Creative Paradigm Chips;9220
3;optical;Concrete bus of;leading-edge;SAS compelling Dollar;65880
4;blue Metal CSS;Chips HTTP Account;innovative program Human;utilisation;72769
5;Canada mint killer;Reunion global;Shoes silver;Direct Salad overriding;44152
6;bandwidth;embrace;Vista Poland;Investment microchip SCSI;7180
7;deposit transmit;Licensed;Regional Concrete Tools;Technician invoice multi-byte;55355
8;Progressive Plastic Bermuda;deposit recontextualize neural-net;Greenland invoice;end-to-end;5725
9;bricks-and-clicks;FTP architectures;Pa'anga Bedfordshire Baby;Account;29590
10;Colombia Composite Representative;Future invoice Executive;Oregon Health;digital Handmade parsing;22940
